ORDER_ID,PRACTICE_ID,PRODUCT,ORDER_DATE,QUANTITY,REVENUE,TERRITORY
ORD00030,P0002,RHA4,2025-11-22,6,7982.89,Southeast
ORD00031,P0003,RHA4,2025-08-15,4,5251.27,Northeast
ORD00032,P0003,DAXXIFY,2025-11-05,6,7008.7,Northeast
ORD00033,P0003,RHA4,2025-06-07,7,10394.57,Northeast
ORD00034,P0003,RHA2,2025-07-05,8,11634.17,Northeast
ORD00035,P0003,RHA_REDENSITY,2026-03-31,10,6315.93,Northeast
ORD00036,P0003,RHA4,2026-04-13,2,1767.47,Northeast
ORD00037,P0003,DAXXIFY,2025-10-13,3,2198.92,Northeast
ORD00038,P0003,RHA2,2025-07-03,2,1620.68,Northeast
ORD00039,P0004,RHA_REDENSITY,2025-12-12,7,7313.51,Southwest
ORD00040,P0004,SKINPEN,2025-12-17,9,6246.11,Southwest
ORD00041,P0004,SKINPEN,2025-12-23,8,10672.78,Southwest
ORD00042,P0004,RHA_REDENSITY,2026-05-16,2,1010.4,Southwest
ORD00043,P0004,RHA3,2025-06-18,4,4683.19,Southwest
ORD00044,P0004,DAXXIFY,2025-10-24,2,1553.56,Southwest
ORD00045,P0004,RHA3,2025-06-13,1,259.79,Southwest
ORD00046,P0004,RHA3,2026-05-06,6,4123.76,Southwest
ORD00047,P0004,RHA2,2026-03-21,9,6621.01,Southwest
ORD00048,P0005,RHA2,2026-03-08,2,1984.68,Southwest
ORD00049,P0005,RHA_REDENSITY,2025-11-20,4,3387.87,Southwest
ORD00050,P0005,RHA2,2025-08-09,4,3197.98,Southwest
ORD00051,P0005,RHA4,2026-01-24,5,5334.46,Southwest
ORD00052,P0005,RHA3,2025-10-08,9,3648.31,Southwest
ORD00053,P0005,RHA3,2025-10-20,10,5889.01,Southwest
ORD00054,P0006,RHA3,2025-06-15,8,10391.16,Midwest
ORD00055,P0006,RHA4,2026-02-22,8,2709.19,Midwest
ORD00056,P0006,RHA_REDENSITY,2025-11-20,6,5683.53,Midwest
ORD00057,P0006,RHA3,2025-06-10,1,1471.33,Midwest
ORD00058,P0006,RHA4,2025-07-01,5,1052.64,Midwest
ORD00059,P0006,SKINPEN,2025-06-17,1,1383.8,Midwest
ORD00060,P0006,RHA3,2025-09-22,4,3956.74,Midwest
ORD00061,P0006,RHA2,2025-12-05,4,4028.63,Midwest
ORD00062,P0006,SKINPEN,2025-06-21,3,3050.17,Midwest
ORD00063,P0006,SKINPEN,2025-07-17,1,601.61,Midwest
ORD00064,P0006,DAXXIFY,2025-10-21,10,6743.2,Midwest
ORD00065,P0006,DAXXIFY,2026-03-28,5,3123.67,Midwest
ORD00066,P0006,RHA2,2025-11-03,4,1487.23,Midwest
ORD00067,P0006,RHA3,2025-08-31,9,7671.0,Midwest
ORD00068,P0007,RHA3,2026-03-11,8,11660.79,Midwest
ORD00069,P0007,SKINPEN,2026-01-03,6,7473.01,Midwest
ORD00070,P0007,DAXXIFY,2025-10-07,3,3541.19,Midwest
ORD00071,P0007,SKINPEN,2026-02-08,7,10202.15,Midwest
ORD00072,P0007,RHA3,2025-08-22,2,2455.77,Midwest
ORD00073,P0007,RHA3,2026-05-27,9,3245.99,Midwest
ORD00074,P0007,SKINPEN,2025-11-27,5,4799.64,Midwest
ORD00075,P0007,RHA3,2025-07-12,2,2154.58,Midwest
ORD00076,P0007,DAXXIFY,2025-10-05,10,13495.05,Midwest
ORD00077,P0008,RHA_REDENSITY,2025-12-18,4,4167.79,Midwest
ORD00078,P0008,RHA4,2025-07-13,5,5220.06,Midwest
ORD00079,P0008,RHA2,2026-04-05,1,1430.14,Midwest
ORD00080,P0008,RHA4,2025-12-30,2,652.7,Midwest
ORD00081,P0008,RHA2,2025-09-01,7,5528.16,Midwest
ORD00082,P0008,SKINPEN,2025-06-25,9,6703.78,Midwest
ORD00083,P0008,RHA4,2026-03-16,2,2567.6,Midwest
ORD00084,P0008,RHA4,2025-07-23,5,1212.66,Midwest
ORD00085,P0008,RHA2,2025-11-26,8,6224.84,Midwest
ORD00086,P0008,RHA3,2026-02-03,2,2950.41,Midwest
ORD00087,P0008,RHA_REDENSITY,2025-11-27,6,1672.29,Midwest
ORD00088,P0008,RHA2,2026-01-13,2,2867.43,Midwest
ORD00089,P0008,DAXXIFY,2025-10-14,4,4136.86,Midwest
ORD00090,P0008,DAXXIFY,2025-08-02,1,1222.83,Midwest
ORD00091,P0008,RHA2,2026-01-30,10,4667.67,Midwest
ORD00092,P0008,RHA2,2025-08-24,10,4807.37,Midwest
ORD00093,P0008,RHA3,2026-02-04,3,3675.71,Midwest
ORD00094,P0008,DAXXIFY,2025-08-02,5,6579.64,Midwest
ORD00095,P0009,RHA_REDENSITY,2026-03-29,5,6190.34,Midwest
ORD00096,P0009,SKINPEN,2026-04-08,1,371.34,Midwest
ORD00097,P0009,RHA2,2025-12-02,10,6209.03,Midwest
ORD00098,P0009,RHA3,2026-03-06,1,364.79,Midwest
ORD00099,P0009,RHA_REDENSITY,2025-10-31,2,2338.73,Midwest
ORD00100,P0010,RHA3,2025-10-17,9,8745.89,West
ORD00101,P0010,RHA_REDENSITY,2025-10-15,4,5716.16,West
ORD00102,P0010,SKINPEN,2026-05-12,9,5329.07,West
ORD00103,P0010,DAXXIFY,2025-07-09,1,1498.16,West
ORD00104,P0010,RHA4,2025-11-10,2,1674.7,West
ORD00105,P0010,DAXXIFY,2025-10-19,2,1237.49,West
ORD00106,P0010,DAXXIFY,2026-03-20,3,1672.56,West
ORD00107,P0010,RHA_REDENSITY,2025-07-14,9,10132.19,West
ORD00108,P0010,RHA_REDENSITY,2025-11-20,9,5250.3,West
ORD00109,P0010,RHA_REDENSITY,2025-09-18,7,2302.52,West
ORD00110,P0010,DAXXIFY,2025-06-09,9,10233.83,West
ORD00111,P0010,RHA4,2026-02-13,8,10836.15,West
ORD00112,P0010,RHA3,2025-11-04,8,5746.79,West
ORD00113,P0010,RHA3,2026-04-16,7,4243.96,West
ORD00114,P0010,RHA3,2026-01-24,3,3278.6,West
ORD00115,P0010,DAXXIFY,2025-10-04,2,2562.61,West
ORD00116,P0011,DAXXIFY,2025-10-25,6,7531.8,West
ORD00117,P0011,DAXXIFY,2025-08-23,10,14436.12,West
ORD00118,P0011,RHA3,2025-08-20,2,1468.1,West
ORD00119,P0012,RHA3,2026-05-08,10,6061.84,Southwest
ORD00120,P0012,RHA_REDENSITY,2026-04-11,9,4289.04,Southwest
ORD00121,P0012,RHA4,2025-07-02,4,5205.83,Southwest
ORD00122,P0012,RHA_REDENSITY,2025-12-06,6,2096.11,Southwest
ORD00123,P0012,RHA_REDENSITY,2026-01-12,4,4997.55,Southwest
ORD00124,P0012,RHA_REDENSITY,2025-08-20,10,10774.7,Southwest
ORD00125,P0012,DAXXIFY,2025-08-22,10,14078.1,Southwest
ORD00126,P0012,RHA3,2025-06-13,1,434.54,Southwest
ORD00127,P0012,RHA3,2025-06-09,6,3937.98,Southwest
ORD00128,P0012,RHA2,2026-03-03,10,10545.48,Southwest
ORD00129,P0012,RHA2,2026-04-29,1,319.28,Southwest
ORD00130,P0012,RHA2,2025-09-05,7,5220.48,Southwest
ORD00131,P0012,RHA2,2025-12-11,6,3630.77,Southwest
ORD00132,P0012,RHA_REDENSITY,2025-12-19,10,3104.44,Southwest
ORD00133,P0013,RHA2,2026-03-16,10,2646.91,Northeast
ORD00134,P0013,RHA3,2026-04-23,8,8484.16,Northeast
ORD00135,P0014,RHA4,2025-07-28,7,3885.82,Southeast
ORD00136,P0014,DAXXIFY,2025-09-14,6,4553.33,Southeast
ORD00137,P0014,SKINPEN,2026-01-09,10,8326.23,Southeast
ORD00138,P0014,RHA3,2025-06-27,1,486.67,Southeast
ORD00139,P0014,DAXXIFY,2025-08-01,1,465.75,Southeast
ORD00140,P0014,RHA2,2026-02-15,5,2881.41,Southeast
ORD00141,P0014,DAXXIFY,2026-04-03,8,9368.95,Southeast
ORD00142,P0014,RHA2,2026-03-06,7,6246.5,Southeast
ORD00143,P0014,RHA_REDENSITY,2026-02-06,9,11550.24,Southeast
ORD00144,P0014,DAXXIFY,2025-12-04,7,9242.06,Southeast
ORD00145,P0014,RHA4,2026-05-13,1,797.68,Southeast
ORD00146,P0014,RHA3,2026-04-25,10,7580.7,Southeast
ORD00147,P0014,SKINPEN,2025-11-08,7,4034.59,Southeast
ORD00148,P0014,DAXXIFY,2025-11-08,6,2540.61,Southeast
ORD00149,P0014,RHA4,2025-07-22,6,1887.41,Southeast
ORD00150,P0014,RHA2,2026-04-10,7,6758.73,Southeast
ORD00151,P0015,RHA4,2026-04-24,5,5847.73,Midwest
ORD00152,P0015,RHA3,2026-02-10,3,897.88,Midwest
ORD00153,P0015,DAXXIFY,2025-07-14,9,7766.44,Midwest
ORD00154,P0015,RHA3,2025-12-07,3,1521.45,Midwest
ORD00155,P0015,RHA3,2026-03-21,4,1702.19,Midwest
ORD00156,P0015,SKINPEN,2026-03-17,2,860.58,Midwest
ORD00157,P0015,RHA4,2025-07-17,8,9446.24,Midwest
ORD00158,P0015,RHA4,2025-08-11,10,10358.89,Midwest
ORD00159,P0015,RHA3,2025-07-19,6,2377.47,Midwest
ORD00160,P0015,RHA4,2026-04-30,8,8166.41,Midwest
ORD00161,P0015,RHA_REDENSITY,2026-01-14,1,657.52,Midwest
ORD00162,P0015,RHA3,2026-04-27,8,6299.9,Midwest
ORD00163,P0015,RHA3,2026-05-05,5,1498.75,Midwest
ORD00164,P0015,RHA_REDENSITY,2026-04-18,10,8591.88,Midwest
ORD00165,P0015,RHA_REDENSITY,2025-10-10,9,12964.51,Midwest
ORD00166,P0015,RHA4,2026-05-13,10,10473.89,Midwest
ORD00167,P0015,RHA_REDENSITY,2025-12-21,8,6814.22,Midwest
ORD00168,P0016,DAXXIFY,2025-10-16,6,8862.61,Midwest
ORD00169,P0016,RHA_REDENSITY,2026-04-21,3,752.65,Midwest
ORD00170,P0017,RHA_REDENSITY,2025-10-22,9,8934.72,Southeast
ORD00171,P0017,RHA3,2025-11-29,5,3518.21,Southeast
ORD00172,P0017,SKINPEN,2025-12-12,10,2680.75,Southeast
ORD00173,P0017,SKINPEN,2025-07-15,6,1714.11,Southeast
ORD00174,P0017,RHA_REDENSITY,2026-04-16,7,3985.74,Southeast
ORD00175,P0017,RHA_REDENSITY,2025-07-02,3,1900.11,Southeast
ORD00176,P0017,SKINPEN,2025-08-09,3,4175.31,Southeast
ORD00177,P0017,SKINPEN,2025-12-27,7,2573.46,Southeast
ORD00178,P0017,DAXXIFY,2025-06-06,5,4632.99,Southeast
ORD00179,P0017,RHA3,2025-07-09,3,3213.45,Southeast
ORD00180,P0017,RHA_REDENSITY,2025-06-18,2,2079.66,Southeast
ORD00181,P0017,RHA_REDENSITY,2025-10-30,6,1342.2,Southeast
ORD00182,P0017,RHA2,2025-12-27,4,2577.01,Southeast
ORD00183,P0017,RHA2,2025-09-28,4,5999.88,Southeast
ORD00184,P0017,DAXXIFY,2026-03-16,5,6488.78,Southeast
ORD00185,P0018,RHA_REDENSITY,2025-09-17,9,2241.65,Southwest
ORD00186,P0018,RHA_REDENSITY,2025-12-13,3,2929.26,Southwest
ORD00187,P0018,RHA2,2026-03-17,3,3842.25,Southwest
ORD00188,P0018,RHA2,2025-07-19,8,2054.4,Southwest
ORD00189,P0019,SKINPEN,2025-06-22,4,5841.86,Northeast
ORD00190,P0019,RHA3,2025-07-26,8,4033.63,Northeast
ORD00191,P0019,RHA3,2026-02-01,8,11001.33,Northeast
ORD00192,P0019,RHA3,2026-02-24,10,14797.72,Northeast
ORD00193,P0019,RHA3,2025-10-10,7,5976.45,Northeast
ORD00194,P0019,RHA2,2025-11-01,4,4966.55,Northeast
ORD00195,P0019,RHA3,2026-03-25,1,1033.53,Northeast
ORD00196,P0019,RHA_REDENSITY,2025-11-25,2,2249.64,Northeast
ORD00197,P0019,DAXXIFY,2025-09-12,5,1545.19,Northeast
ORD00198,P0019,RHA3,2026-03-13,8,11015.18,Northeast
ORD00199,P0019,RHA4,2026-03-20,2,2860.67,Northeast
ORD00200,P0019,RHA4,2026-02-10,6,8457.68,Northeast
ORD00201,P0020,RHA4,2026-05-07,9,6175.35,West
ORD00202,P0020,DAXXIFY,2025-11-18,6,2951.4,West
ORD00203,P0020,DAXXIFY,2025-12-22,6,7372.77,West
ORD00204,P0020,DAXXIFY,2026-03-25,5,6963.08,West
ORD00205,P0020,SKINPEN,2025-10-05,3,3559.48,West
ORD00206,P0020,RHA4,2025-10-06,10,2068.27,West
ORD00207,P0020,DAXXIFY,2026-04-24,5,2401.76,West
ORD00208,P0020,RHA_REDENSITY,2026-03-19,10,8861.03,West
ORD00209,P0020,RHA3,2026-04-08,4,2365.99,West
ORD00210,P0020,RHA2,2026-05-10,7,7214.46,West
ORD00211,P0020,RHA4,2025-07-20,2,688.23,West
ORD00212,P0020,RHA_REDENSITY,2025-09-21,9,1992.29,West
ORD00213,P0020,RHA_REDENSITY,2025-09-13,4,4536.43,West
ORD00214,P0020,RHA4,2026-01-05,1,999.25,West
ORD00215,P0021,RHA4,2025-08-15,3,3191.05,Southwest
ORD00216,P0021,RHA_REDENSITY,2026-04-21,6,1727.9,Southwest
ORD00217,P0021,RHA_REDENSITY,2025-09-07,9,11001.02,Southwest
ORD00218,P0021,RHA_REDENSITY,2025-09-17,1,707.59,Southwest
ORD00219,P0021,DAXXIFY,2025-10-06,7,10327.46,Southwest
ORD00220,P0021,SKINPEN,2026-01-25,1,664.22,Southwest
ORD00221,P0021,RHA3,2026-04-30,4,4611.29,Southwest
ORD00222,P0021,DAXXIFY,2025-07-17,10,11557.43,Southwest
ORD00223,P0022,DAXXIFY,2026-03-27,6,5458.91,West
ORD00224,P0022,RHA2,2025-07-09,8,11800.52,West
ORD00225,P0022,SKINPEN,2025-10-01,3,3764.84,West
ORD00226,P0022,SKINPEN,2026-05-02,8,1984.63,West
ORD00227,P0022,DAXXIFY,2026-02-20,4,5406.11,West
ORD00228,P0022,RHA3,2025-12-24,9,6459.22,West
ORD00229,P0022,RHA4,2025-08-29,5,1238.04,West
ORD00230,P0022,RHA2,2025-07-07,5,3320.33,West
ORD00231,P0022,SKINPEN,2026-05-10,6,3331.09,West
ORD00232,P0022,RHA4,2025-11-27,7,8164.1,West
ORD00233,P0022,RHA3,2025-11-18,3,2535.19,West
ORD00234,P0023,RHA_REDENSITY,2025-11-27,5,6207.46,Southeast
ORD00235,P0023,DAXXIFY,2025-10-29,7,6882.33,Southeast
ORD00236,P0023,RHA_REDENSITY,2026-03-03,5,3087.87,Southeast
ORD00237,P0023,RHA3,2026-04-24,5,2992.22,Southeast
ORD00238,P0023,SKINPEN,2025-07-30,7,2916.47,Southeast
ORD00239,P0023,RHA3,2025-10-19,8,2040.49,Southeast
ORD00240,P0023,RHA_REDENSITY,2025-12-05,7,3898.45,Southeast
ORD00241,P0023,DAXXIFY,2026-05-05,7,4706.13,Southeast
ORD00242,P0023,RHA2,2025-06-21,1,385.61,Southeast
ORD00243,P0023,SKINPEN,2025-07-27,8,1961.91,Southeast
ORD00244,P0023,RHA2,2026-04-30,6,4024.77,Southeast
ORD00245,P0023,DAXXIFY,2025-08-17,10,3994.7,Southeast
ORD00246,P0023,RHA3,2025-10-16,6,4662.73,Southeast
ORD00247,P0023,RHA_REDENSITY,2026-04-25,3,2664.89,Southeast
ORD00248,P0023,RHA3,2025-11-12,5,2622.48,Southeast
ORD00249,P0023,DAXXIFY,2026-04-06,3,2546.27,Southeast
ORD00250,P0024,DAXXIFY,2025-08-20,5,6037.27,West
ORD00251,P0024,RHA4,2025-06-08,4,5981.1,West
ORD00252,P0024,SKINPEN,2026-01-08,8,3681.85,West
ORD00253,P0024,DAXXIFY,2026-03-26,8,3395.63,West
ORD00254,P0024,DAXXIFY,2025-10-19,6,6409.15,West
ORD00255,P0024,DAXXIFY,2025-06-05,9,8143.4,West
ORD00256,P0024,RHA2,2026-01-01,3,3695.42,West
ORD00257,P0024,RHA2,2025-09-16,2,2961.34,West
ORD00258,P0024,RHA2,2026-03-24,8,1873.35,West
ORD00259,P0024,RHA_REDENSITY,2025-08-24,6,4845.77,West
ORD00260,P0024,RHA2,2025-08-25,10,13495.2,West
ORD00261,P0024,RHA3,2026-05-01,7,10496.31,West
ORD00262,P0024,RHA_REDENSITY,2025-10-01,7,8399.4,West
ORD00263,P0025,RHA2,2026-04-27,6,6210.24,Southeast
ORD00264,P0025,RHA4,2025-10-16,9,5830.82,Southeast
ORD00265,P0025,SKINPEN,2025-08-25,10,4365.52,Southeast
ORD00266,P0025,RHA4,2026-03-29,9,12455.33,Southeast
ORD00267,P0025,DAXXIFY,2026-05-06,9,3590.28,Southeast
ORD00268,P0025,RHA2,2026-03-11,6,8490.96,Southeast
ORD00269,P0025,RHA3,2026-02-08,9,12270.63,Southeast
ORD00270,P0025,RHA3,2026-04-24,4,4102.3,Southeast
ORD00271,P0025,RHA3,2025-08-25,3,3037.59,Southeast
ORD00272,P0025,RHA_REDENSITY,2025-07-24,2,1706.69,Southeast
ORD00273,P0025,RHA_REDENSITY,2026-03-09,10,4004.53,Southeast
ORD00274,P0025,RHA_REDENSITY,2025-07-01,10,6389.05,Southeast
ORD00275,P0025,DAXXIFY,2025-08-19,1,305.59,Southeast
ORD00276,P0025,RHA_REDENSITY,2025-07-10,5,5232.34,Southeast
ORD00277,P0025,RHA4,2025-08-15,10,10306.89,Southeast
ORD00278,P0025,SKINPEN,2025-09-22,9,5189.16,Southeast
ORD00279,P0025,RHA4,2025-12-31,4,4984.38,Southeast
ORD00280,P0025,RHA4,2025-06-18,5,3948.04,Southeast
ORD00281,P0025,DAXXIFY,2025-06-16,3,2314.46,Southeast
ORD00282,P0026,RHA2,2025-10-09,6,5931.95,Northeast
ORD00283,P0026,SKINPEN,2025-12-25,6,6926.76,Northeast
ORD00284,P0026,RHA4,2025-12-09,3,3566.59,Northeast
ORD00285,P0026,RHA_REDENSITY,2025-09-13,2,1229.7,Northeast
ORD00286,P0026,DAXXIFY,2025-10-08,5,3922.37,Northeast
ORD00287,P0026,DAXXIFY,2026-03-23,1,577.28,Northeast
ORD00288,P0026,RHA_REDENSITY,2025-11-19,7,3659.26,Northeast
ORD00289,P0026,RHA3,2026-03-14,10,11374.67,Northeast
ORD00290,P0026,RHA2,2026-02-26,8,11958.08,Northeast
ORD00291,P0026,RHA4,2025-10-07,5,4232.91,Northeast
ORD00292,P0026,RHA4,2026-04-18,9,7149.6,Northeast
ORD00293,P0026,RHA2,2026-01-31,10,6587.64,Northeast
ORD00294,P0026,RHA3,2026-05-09,8,7814.2,Northeast
ORD00295,P0026,SKINPEN,2025-07-04,8,4571.78,Northeast
ORD00296,P0026,DAXXIFY,2026-05-30,7,2618.81,Northeast
ORD00297,P0026,SKINPEN,2026-01-19,6,7158.08,Northeast
ORD00298,P0027,RHA4,2026-05-11,1,941.37,West
ORD00299,P0027,RHA3,2026-02-24,9,5176.64,West
ORD00300,P0027,RHA_REDENSITY,2025-11-18,8,9549.8,West
ORD00301,P0027,RHA_REDENSITY,2026-01-11,10,3544.54,West
ORD00302,P0027,RHA4,2026-04-15,6,7400.2,West
ORD00303,P0027,RHA_REDENSITY,2025-12-12,6,7088.73,West
ORD00304,P0027,RHA_REDENSITY,2026-02-22,9,6496.23,West
ORD00305,P0027,DAXXIFY,2026-05-14,1,378.15,West
ORD00306,P0027,RHA4,2025-12-15,9,7146.77,West
ORD00307,P0027,RHA_REDENSITY,2025-07-28,3,1879.07,West
ORD00308,P0027,RHA3,2025-07-25,3,2132.52,West
ORD00309,P0027,SKINPEN,2025-07-23,5,4859.21,West
ORD00310,P0028,RHA_REDENSITY,2025-09-16,8,8970.89,Southwest
ORD00311,P0028,RHA4,2026-01-01,1,678.87,Southwest
ORD00312,P0028,DAXXIFY,2025-06-24,7,6711.69,Southwest
ORD00313,P0028,SKINPEN,2025-06-16,1,975.98,Southwest
ORD00314,P0028,SKINPEN,2026-01-19,10,9509.25,Southwest
ORD00315,P0028,RHA_REDENSITY,2026-05-08,8,3373.33,Southwest
ORD00316,P0028,SKINPEN,2025-07-16,10,12069.88,Southwest
ORD00317,P0028,RHA2,2025-11-21,4,964.17,Southwest
ORD00318,P0028,DAXXIFY,2025-06-10,4,898.47,Southwest
ORD00319,P0028,RHA4,2025-12-25,3,2210.54,Southwest
ORD00320,P0028,RHA4,2026-02-19,9,10867.18,Southwest
ORD00321,P0028,SKINPEN,2025-10-05,1,1117.51,Southwest
ORD00322,P0028,RHA2,2025-09-11,9,5603.08,Southwest
ORD00323,P0028,RHA4,2025-06-29,9,6208.85,Southwest
ORD00324,P0028,RHA4,2026-03-07,9,5805.23,Southwest
ORD00325,P0028,SKINPEN,2025-12-04,5,4965.5,Southwest
ORD00326,P0028,RHA2,2026-02-25,5,4627.56,Southwest
ORD00327,P0029,RHA3,2026-01-02,4,4389.25,Southwest
ORD00328,P0029,RHA3,2025-09-26,8,5227.55,Southwest
ORD00329,P0029,RHA3,2026-01-14,2,1891.04,Southwest
ORD00330,P0029,RHA4,2025-08-29,7,8847.23,Southwest
ORD00331,P0029,RHA3,2026-03-21,1,573.92,Southwest
ORD00332,P0029,RHA3,2026-04-24,8,8422.11,Southwest
ORD00333,P0029,RHA2,2025-10-01,4,5105.35,Southwest
ORD00334,P0029,RHA_REDENSITY,2026-01-16,5,1892.27,Southwest
ORD00335,P0030,RHA2,2025-08-07,4,1063.98,Southwest
ORD00336,P0030,RHA2,2025-09-05,4,1072.95,Southwest
ORD00337,P0030,RHA3,2025-11-04,8,2645.67,Southwest
ORD00338,P0030,DAXXIFY,2026-03-25,9,13241.56,Southwest
ORD00339,P0030,RHA4,2026-03-15,8,6565.46,Southwest
ORD00340,P0030,RHA3,2026-02-21,6,3426.24,Southwest
ORD00341,P0030,DAXXIFY,2026-05-04,10,5018.86,Southwest
ORD00342,P0030,RHA2,2026-05-15,7,9428.43,Southwest
ORD00343,P0030,DAXXIFY,2026-03-05,7,8570.44,Southwest
ORD00344,P0030,SKINPEN,2026-02-28,5,6698.83,Southwest
ORD00345,P0030,RHA3,2026-05-30,10,9836.18,Southwest
ORD00346,P0030,RHA3,2025-12-14,8,11886.63,Southwest
ORD00347,P0030,RHA_REDENSITY,2025-08-29,8,10848.3,Southwest
ORD00348,P0030,RHA_REDENSITY,2026-03-27,8,4437.51,Southwest
ORD00349,P0030,RHA3,2026-04-07,3,3451.37,Southwest
ORD00350,P0030,RHA3,2025-07-07,3,654.93,Southwest
ORD00351,P0030,RHA3,2025-12-13,10,10767.21,Southwest
ORD00352,P0030,RHA2,2026-02-25,10,13129.9,Southwest
ORD00353,P0030,RHA4,2025-11-08,9,5636.74,Southwest
ORD00354,P0030,SKINPEN,2025-11-10,2,880.43,Southwest
ORD00355,P0031,RHA3,2025-10-02,4,835.52,West
ORD00356,P0031,RHA2,2025-11-19,8,9439.07,West
ORD00357,P0031,RHA3,2025-12-17,10,11397.47,West
ORD00358,P0031,RHA3,2026-05-29,6,6603.6,West
ORD00359,P0031,SKINPEN,2026-05-03,2,1610.03,West
ORD00360,P0032,SKINPEN,2025-11-08,9,12600.34,Midwest
ORD00361,P0032,RHA3,2025-06-08,2,2060.65,Midwest
ORD00362,P0032,RHA3,2026-01-03,10,4871.04,Midwest
ORD00363,P0032,RHA4,2026-03-27,3,2374.42,Midwest
ORD00364,P0032,RHA3,2025-07-28,7,7787.66,Midwest
ORD00365,P0032,RHA_REDENSITY,2025-10-05,4,4761.67,Midwest
ORD00366,P0033,RHA_REDENSITY,2026-04-23,8,7093.0,Northeast
ORD00367,P0033,DAXXIFY,2025-11-30,10,3458.71,Northeast
ORD00368,P0033,RHA_REDENSITY,2025-08-27,4,3778.05,Northeast
ORD00369,P0033,RHA2,2026-03-19,6,7864.99,Northeast
ORD00370,P0033,DAXXIFY,2025-10-20,4,4527.97,Northeast
ORD00371,P0033,DAXXIFY,2025-09-26,9,7012.15,Northeast
ORD00372,P0033,RHA4,2026-05-06,3,2601.67,Northeast
ORD00373,P0033,RHA_REDENSITY,2025-10-13,1,926.44,Northeast
ORD00374,P0033,RHA3,2025-06-24,1,714.73,Northeast
ORD00375,P0033,SKINPEN,2026-06-02,4,3807.22,Northeast
ORD00376,P0033,RHA4,2026-05-11,6,6663.0,Northeast
ORD00377,P0033,DAXXIFY,2025-08-30,2,2963.96,Northeast
ORD00378,P0033,DAXXIFY,2025-10-05,5,3657.64,Northeast
ORD00379,P0033,SKINPEN,2026-03-26,7,4807.59,Northeast
ORD00380,P0033,RHA4,2025-11-20,7,4818.37,Northeast
ORD00381,P0033,SKINPEN,2025-06-19,9,3355.98,Northeast
ORD00382,P0033,DAXXIFY,2025-12-07,3,4472.1,Northeast
ORD00383,P0033,RHA_REDENSITY,2025-11-14,3,3438.65,Northeast
ORD00384,P0033,DAXXIFY,2026-02-09,1,1472.04,Northeast
ORD00385,P0033,SKINPEN,2025-10-09,9,6762.3,Northeast
ORD00386,P0034,RHA2,2026-02-06,8,5200.06,Southeast
ORD00387,P0034,RHA2,2026-01-13,2,483.77,Southeast
ORD00388,P0034,RHA4,2025-06-30,10,11958.7,Southeast
ORD00389,P0034,RHA2,2026-05-26,4,1149.91,Southeast
ORD00390,P0034,DAXXIFY,2025-08-03,8,7816.96,Southeast
ORD00391,P0034,DAXXIFY,2025-06-08,4,4650.81,Southeast
ORD00392,P0034,RHA4,2025-11-10,4,3606.75,Southeast
ORD00393,P0034,RHA2,2026-05-06,9,13423.76,Southeast
ORD00394,P0034,SKINPEN,2026-02-04,10,6145.75,Southeast
